代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
588910,科创价值ETF建信,1.598,1.5999,0.12,-0.088,-5.22,93145.0,15280264.0,1.666,1.693,1.594,1.686,5.87,9.04,0.85,-29.01,42166.0,50979.0,-557252.0,-3.65,0.0,0.0,-557252.0,-3.65,229892.0,1.5,327360.0,2.14,-638.0,1.598,1.6,103049100.0,164672462,164672462,2026-07-13 00:00:00,2026-07-13 16:11:40+08:00
159531,中证2000ETF南方,1.395,1.3903,-0.34,-0.077,-5.23,1775317.0,251460357.095,1.466,1.47,1.386,1.472,5.71,30.16,1.68,60.78,621110.0,1154207.0,-53961360.0,-21.46,-28650026.0,-11.39,-25311334.0,-10.07,29603799.0,11.77,24357560.0,9.69,8885.0,1.394,1.395,588608400.0,821108718,821108718,2026-07-13 00:00:00,2026-07-13 15:34:21+08:00
515050,通信ETF华夏,1.159,1.1602,0.1,-0.064,-5.23,13856775.0,1644971881.0,1.197,1.227,1.148,1.223,6.46,7.62,0.91,32.53,5883747.0,7973028.0,-158008320.0,-9.61,-45895536.0,-2.79,-112112784.0,-6.82,18288848.0,1.11,139719455.0,8.49,-98544.0,1.159,1.16,18173205504.0,21062745179,21062745179,2026-07-13 00:00:00,2026-07-13 16:11:33+08:00
159155,电池ETF大成,0.851,0.8544,0.4,-0.047,-5.23,302391.0,26216838.535,0.882,0.891,0.85,0.898,4.57,5.28,0.78,11.33,136899.0,165492.0,-192810.0,-0.74,-1946541.0,-7.42,1753731.0,6.69,-1071332.0,-4.09,1264142.0,4.82,648.0,0.85,0.851,572513296.0,487208815,487208815,2026-07-13 00:00:00,2026-07-13 15:34:48+08:00
159505,国证2000ETF博时,1.647,1.6342,-0.78,-0.091,-5.24,57054.0,9628396.4,1.726,1.726,1.634,1.738,5.29,40.45,1.59,52.37,12694.0,44360.0,1190991.0,12.37,1464774.0,15.21,-273783.0,-2.84,-1411617.0,-14.66,220626.0,2.29,13.0,1.647,1.654,14104786.0,23230583,23230583,2026-07-13 00:00:00,2026-07-13 15:34:51+08:00
560390,电网设备ETF易方达,0.885,0.8855,0.06,-0.049,-5.25,1868940.0,168147860.0,0.93,0.935,0.883,0.934,5.57,11.85,1.27,33.81,601498.0,1267442.0,-59855655.0,-35.6,-48877561.0,-29.07,-10978094.0,-6.53,27313195.0,16.24,32542459.0,19.35,-9204.0,0.885,0.886,1577258000.0,1395873330,1395873330,2026-07-13 00:00:00,2026-07-13 16:11:34+08:00
515880,通信ETF国泰,0.738,0.7403,0.31,-0.041,-5.26,53432032.0,4025785595.0,0.761,0.783,0.731,0.779,6.68,7.62,0.72,60.93,23159301.0,30272730.0,-518377536.0,-12.88,-390919808.0,-9.71,-127457728.0,-3.17,203900944.0,5.06,314476592.0,7.81,-448001.0,0.738,0.739,70141775872.0,51764630594,51764630594,2026-07-13 00:00:00,2026-07-13 16:11:53+08:00
589050,科创综指ETF兴业,1.58,1.5644,-1.0,-0.088,-5.28,32779.0,5233063.0,1.618,1.656,1.555,1.668,6.06,6.43,0.76,0.51,7705.0,25074.0,-351642.0,-6.72,0.0,0.0,-351642.0,-6.72,27808.0,0.53,323834.0,6.19,-1626.0,1.58,1.585,50968000.0,80529440,80529440,2026-07-13 00:00:00,2026-07-13 16:11:37+08:00
516180,光伏ETF平安,0.699,0.6978,-0.17,-0.039,-5.28,69136.0,4916064.0,0.738,0.738,0.697,0.738,5.56,4.38,0.55,-1.35,29380.0,39756.0,-58181.0,-1.18,7220.0,0.15,-65401.0,-1.33,-148006.0,-3.01,206186.0,4.19,-122.0,0.697,0.699,157987000.0,110432913,110432913,2026-07-13 00:00:00,2026-07-13 16:11:47+08:00
159855,影视ETF银华,0.716,0.7094,-0.93,-0.04,-5.29,404479.0,29155148.6,0.756,0.76,0.708,0.756,6.88,22.73,2.05,45.81,122373.0,282106.0,-6650835.0,-22.81,-3039803.0,-10.43,-3611032.0,-12.39,2193486.0,7.52,4457349.0,15.29,-3127.0,0.716,0.717,177925236.0,127394469,127394469,2026-07-13 00:00:00,2026-07-13 15:34:09+08:00
